cve,descrip
1,Sólo aceptan efectivo los comercios donde compra
2,La mayoría de sus pagos son montos bajos
3,Le permite llevar un mejor control de sus gastos
4,Le dan desconfianza las tarjetas de débito
5,Por costumbre
6,El establecimiento cobra comisiones
7,Otro
