cve,descrip
1,Ayudó en un negocio (familiar o no familiar)
2,Vendió o hizo algún producto para vender
3,Ayudó en las labores del campo o en la cría de animales
4,"A cambio de un pago realizó otro tipo de actividad (Por ejemplo: lavó o planchó ajeno, cuidó niñas y niños)"
5,Estuvo de aprendiz o haciendo su servicio social
6,No ayudó ni trabajó
