cve,descrip
1,"No cumple con los requisitos (no tiene trabajo, ingresos insuficientes)"
2,La sucursal le queda lejos o no hay
3,Cree que la (lo) van a rechazar
4,No confía en las instituciones financieras o le dan mal servicio
5,Los intereses o comisiones son altas
6,No le interesa o no lo necesita
7,No le gusta endeudarse
8,No quiere que le cobren impuestos
9,Otro
