cve,descrip
1,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)"
2,"Noreste (Coahuila, Nuevo León, San Luis Potosí, Tamaulipas)"
3,"Occidente y Bajío  (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)"
4,Ciudad de México (Ciudad de México)
5,"Centro Sur y Oriente (Estado de México, Hidalgo, Morelos, Puebla, Tlaxcala, Veracruz)"
6,"Sur (Campeche, Chiapas, Guerrero, Quintana Roo, Tabasco, Yucatán, Oaxaca)"
