cve,descrip
1,No le queda dinero para ahorrar
2,No sabe qué es o no sabe cómo hacerlo
3,Ahorra de otra forma
4,Desconoce las ventajas
5,No confía en las Afores
6,Porque ya está jubilada(o)
7,Otro
