cve,descrip
1,No cumplieron las condiciones pactadas
2,Tardaron mucho tiempo en resolver o pagar la reclamación
3,Le atendieron mal
4,No le reembolsaron el dinero que esperaba
5,No le explicaron bien
6,Es muy caro
7,Otro
