cve,descrip
1,Le cobraban intereses muy altos
2,No se quiere volver a endeudar
3,"Ya no lo necesita (terminó de pagar su crédito, etcétera)"
4,Tuvo una mala experiencia con la institución financiera
5,Ya no cumple con los requisitos
6,Prefiere otro tipo de préstamo (familiares o amistades)
7,No quería que le cobraran impuestos
8,Otro
